start_id,end_id,relation,:TYPE
400433,100089,employ_of,employ_of
400434,100184,employ_of,employ_of
400435,100184,employ_of,employ_of
400436,100184,employ_of,employ_of
400437,100184,employ_of,employ_of
400438,100184,employ_of,employ_of
400439,100184,employ_of,employ_of
400440,100184,employ_of,employ_of
400441,100184,employ_of,employ_of
400442,100184,employ_of,employ_of
400443,100184,employ_of,employ_of
400444,100184,employ_of,employ_of
400445,100184,employ_of,employ_of
400446,100184,employ_of,employ_of
400447,100184,employ_of,employ_of
400448,100184,employ_of,employ_of
400449,100184,employ_of,employ_of
400450,100184,employ_of,employ_of
400451,100184,employ_of,employ_of
400452,100184,employ_of,employ_of
400453,100184,employ_of,employ_of
400454,100184,employ_of,employ_of
400455,100184,employ_of,employ_of
400456,100184,employ_of,employ_of
400457,100184,employ_of,employ_of
400458,100184,employ_of,employ_of
400459,100184,employ_of,employ_of
400460,100184,employ_of,employ_of
400461,100184,employ_of,employ_of
400462,100184,employ_of,employ_of
400463,100184,employ_of,employ_of
400464,100093,employ_of,employ_of
400465,100093,employ_of,employ_of
400466,100093,employ_of,employ_of
400467,100093,employ_of,employ_of
400468,100449,employ_of,employ_of
400469,100449,employ_of,employ_of
400470,100449,employ_of,employ_of
400471,100449,employ_of,employ_of
400472,100449,employ_of,employ_of
400473,100449,employ_of,employ_of
400474,100449,employ_of,employ_of
400475,100449,employ_of,employ_of
400476,100449,employ_of,employ_of
400477,100449,employ_of,employ_of
400478,100449,employ_of,employ_of
400479,100449,employ_of,employ_of
400480,100449,employ_of,employ_of
400481,100449,employ_of,employ_of
400482,100449,employ_of,employ_of
400483,100449,employ_of,employ_of
400484,100449,employ_of,employ_of
400485,100449,employ_of,employ_of
400486,100449,employ_of,employ_of
400487,100449,employ_of,employ_of
400488,100449,employ_of,employ_of
400489,100449,employ_of,employ_of
400490,100449,employ_of,employ_of
400491,100449,employ_of,employ_of
400492,100449,employ_of,employ_of
400493,100449,employ_of,employ_of
400494,100449,employ_of,employ_of
400495,100449,employ_of,employ_of
400496,100449,employ_of,employ_of
400497,100449,employ_of,employ_of
400498,100449,employ_of,employ_of
400499,100449,employ_of,employ_of
400500,100449,employ_of,employ_of
400501,100449,employ_of,employ_of
400502,100449,employ_of,employ_of
400503,100449,employ_of,employ_of
400504,100449,employ_of,employ_of
400505,100449,employ_of,employ_of
