start_id,end_id,relation,:TYPE
200379,100856,in_charge_of,in_charge_of
200380,100859,in_charge_of,in_charge_of
200381,100876,in_charge_of,in_charge_of
200382,100883,in_charge_of,in_charge_of
200383,100886,in_charge_of,in_charge_of
200384,100903,in_charge_of,in_charge_of
200385,100906,in_charge_of,in_charge_of
200386,100924,in_charge_of,in_charge_of
200387,100928,in_charge_of,in_charge_of
200388,100929,in_charge_of,in_charge_of
200389,100943,in_charge_of,in_charge_of
200390,100951,in_charge_of,in_charge_of
200391,100953,in_charge_of,in_charge_of
200392,100954,in_charge_of,in_charge_of
200393,100958,in_charge_of,in_charge_of
200394,100977,in_charge_of,in_charge_of
200395,100978,in_charge_of,in_charge_of
200396,100980,in_charge_of,in_charge_of
200397,100981,in_charge_of,in_charge_of
200398,100983,in_charge_of,in_charge_of
200399,100985,in_charge_of,in_charge_of
200400,100986,in_charge_of,in_charge_of
200401,100987,in_charge_of,in_charge_of
200402,100990,in_charge_of,in_charge_of
